Day of Year,Pinus strobiformis Average Sap flow,Pinus strobiformis sd, Pinus ponderosa Avg. sap flow,Pinus ponderosa sd, Pseudotsuga menziesii Avg. sap flow, Pseudotsuga menziesii sd,Pinus strobiformis  Sensor M1S,Pinus strobiformis Sensor M2N, Pinus strobiformis Sensor M2S, Pinus ponderosa Sensor P1N, Pinus ponderosa Sensor P3S, Pinus ponderosa Sensor P3N,Pseudotsuga menziesii Sensor D1S,Pseudotsuga menziesii Sensor D2S
[Julian Day],[cm hr-1] ,[cm hr-1],[cm hr-1] ,[cm hr-1],[cm hr-1] ,[cm hr-1],[cm hr-1] ,[cm hr-1],[cm hr-1] ,[cm hr-1],[cm hr-1] ,[cm hr-1],[cm hr-1] ,[cm hr-1]
1,1.2358,0.018356,1.1226,0.080765,0.5708,0.73011,1.2408,1.2155,1.2512,1.1944,1.0352,1.1383,1.0871,0.054539
1.0208,1.946,0.029517,1.8233,0.080853,0.90829,1.2378,1.9123,1.9583,1.9673,1.9076,1.7464,1.8159,1.7835,0.033048
1.0417,2.1214,0.046841,1.9999,0.097765,1.0127,1.3855,2.0692,2.1598,2.1353,2.1007,1.9055,1.9935,1.9924,0.033048
1.0625,0.23283,0.028588,0.20101,0.043663,0.12783,0.13404,0.20054,0.24307,0.25489,0.24375,0.20278,0.15648,0.22261,0.033048
1.0833,0.015253,0.013664,0.0026308,0.0045567,0.016524,0.023369,0,0.026375,0.019383,0.0078924,0,0,0,0.033048
1.1042,0.093242,0.02061,0.12153,0.069344,0.057154,0.034091,0.11576,0.088667,0.075303,0.043635,0.17654,0.14441,0.08126,0.033048
1.125,0.11561,0.058614,0.15563,0.08501,0.083708,0.071643,0.18285,0.088667,0.075303,0.057494,0.20278,0.20662,0.13437,0.033048
1.1458,0.15222,0.041998,0.19843,0.068928,0.095701,0.11547,0.20054,0.13162,0.12449,0.11908,0.2435,0.23271,0.17735,0.014054
1.1667,0.018631,0.03227,0.082453,0.071461,0.047657,0.047522,0.055893,0,0,0,0.12646,0.1209,0.08126,0.014054
1.1875,0.28696,0.038829,0.32635,0.061972,0.15825,0.20393,0.25554,0.33037,0.27497,0.26294,0.32932,0.38678,0.30246,0.014054
1.2083,0.86549,0.017168,0.95679,0.1064,0.44861,0.62597,0.84972,0.88378,0.86298,0.84956,0.95846,1.0624,0.89124,0.0059817
1.2292,0.82534,0.021466,0.92771,0.11214,0.45924,0.641,0.80057,0.8387,0.83673,0.79929,0.97749,1.0063,0.9125,0.0059817
1.25,0.2445,0.022619,0.31995,0.071972,0.1834,0.23949,0.21856,0.26006,0.25489,0.24375,0.32932,0.38678,0.35274,0.014054
1.2708,2.077,0.095006,2.3643,0.31277,1.0905,1.5422,2.1331,2.1306,1.9673,2.0034,2.5328,2.5566,2.181,0
1.2917,1.0673,0.013875,1.2698,0.18429,0.66989,0.94736,1.0797,1.0699,1.0524,1.0581,1.3569,1.3945,1.3398,0
1.3125,1.4922,0.031742,2.0659,0.61761,0.8565,1.2028,1.5224,1.4951,1.4591,1.4506,2.6857,2.0614,1.707,0.0059817
1.3333,0.095536,0.031436,0.60536,0.53803,0.18793,0.25731,0.10002,0.062098,0.12449,0.10289,1.173,0.54016,0.36987,0.0059817
1.3542,0.22188,0.024503,0.98509,0.75962,0.26881,0.37169,0.2369,0.19361,0.23514,0.20633,1.724,1.0249,0.53164,0.0059817
1.375,0.2583,0.033819,1.172,0.8706,0.31648,0.4391,0.2937,0.22632,0.25489,0.26294,1.9982,1.2547,0.62697,0.0059817
1.3958,2.4659,0.16211,4.0761,1.5597,1.4492,2.0494,2.6316,2.4584,2.3076,2.4012,5.4869,4.3403,2.8983,0
1.4167,2.4693,0.11107,4.1103,1.6065,1.5403,2.1784,2.5973,2.3976,2.4131,2.4012,5.5893,4.3403,3.0807,0
1.4375,3.2932,0.11876,5.0512,1.5491,2.0774,2.9379,3.425,3.2599,3.1946,3.3805,6.44,5.3331,4.1549,0
1.4583,2.8203,0.11154,4.2938,1.2464,1.8258,2.582,2.9472,2.7379,2.7757,2.8944,5.2845,4.7025,3.6515,0
1.4792,0.50138,0.059926,1.5121,0.79486,0.55472,0.78449,0.49993,0.4422,0.56202,0.60613,2.0924,1.8378,1.1094,0
1.5,2.6583,0.097511,4.4369,1.3991,1.7447,2.4673,2.7703,2.6124,2.5923,2.822,5.2845,5.2043,3.4894,0
1.5208,2.1625,0.14047,3.8129,1.1646,1.6335,2.3101,2.006,2.2777,2.2037,2.4697,4.5394,4.4297,3.267,0
1.5417,2.5752,0.18171,4.237,1.1717,1.8421,2.6052,2.7354,2.6124,2.3777,2.8944,5.0526,4.764,3.6843,0
1.5625,2.6444,0.045358,4.1187,0.99611,1.8367,2.5204,2.666,2.6749,2.5923,3.0041,4.9221,4.4297,3.6189,0.054539
1.5833,2.5875,0.089887,4.0172,0.92769,1.7504,2.4139,2.4953,2.6749,2.5923,3.0041,4.8252,4.2222,3.4573,0.043535
1.6042,2.6329,0.04132,3.875,0.8087,1.7559,2.4061,2.6316,2.6749,2.5923,3.0041,4.6023,4.0187,3.4573,0.054539
1.625,2.1942,0.046638,3.2734,0.69885,1.5929,2.1912,2.1653,2.248,2.1694,2.5389,3.9301,3.3511,3.1423,0.043535
1.6458,2.0148,0.07196,2.9239,0.56845,1.486,2.04,2.0375,2.0727,1.9342,2.2996,3.4115,3.0605,2.9285,0.043535
1.6667,2.0268,0.053062,2.915,0.61782,1.486,2.04,2.0692,2.0439,1.9673,2.266,3.496,2.9829,2.9285,0.043535
1.6875,2.1859,0.067575,2.9859,0.55123,1.5621,2.1476,2.2627,2.1598,2.1353,2.4012,3.496,3.0605,3.0807,0.043535
1.7083,2.1981,0.11283,2.8544,0.42364,1.5519,2.162,2.3284,2.1306,2.1353,2.3671,3.1355,3.0605,3.0807,0.023171
1.7292,2.0848,0.18366,2.3292,0.39163,1.4608,2.0331,2.2954,1.9583,2.0006,2.0681,2.14,2.7795,2.8983,0.023171
1.75,2.2023,0.2264,2.2784,0.41226,1.4959,2.0687,2.4616,2.0439,2.1014,2.0357,2.0451,2.7544,2.9587,0.033048
1.7708,2.3204,0.21386,2.3006,0.41661,1.5468,2.1259,2.5631,2.1598,2.2382,2.1007,2.0217,2.7795,3.05,0.043535
1.7917,2.3093,0.1707,2.311,0.38654,1.5947,2.1451,2.4953,2.1598,2.2728,2.1334,2.0451,2.7544,3.1115,0.077858
1.8125,2.4199,0.15948,2.3783,0.44761,1.6444,2.1622,2.5631,2.248,2.4486,2.2326,2.0217,2.8806,3.1733,0.11554
1.8333,2.4611,0.13038,2.4504,0.47541,1.7046,2.2096,2.5973,2.3374,2.4486,2.2996,2.0687,2.9829,3.267,0.14218
1.8542,2.553,0.18398,2.532,0.5183,1.7729,2.2468,2.7354,2.3675,2.5561,2.3671,2.1161,3.1127,3.3616,0.1841
1.875,2.5867,0.18639,2.5233,0.5037,1.7949,2.2157,2.7703,2.3976,2.5923,2.3671,2.1161,3.0866,3.3616,0.2281
1.8958,2.6869,0.17918,2.5513,0.50341,1.8496,2.2283,2.876,2.5196,2.6651,2.4012,2.14,3.1127,3.4253,0.27397
