"","doy","Season","Year","mean_t","mean_vpd","mean_swc","mean_gpp","mean_ET","mean_NEE","mean_ppfd","mean_SWP","mean_PP","mean_DF","mean_3sap","N","se_t","se_vpd","se_GPP","se_swc","se_ET","se_SWP","se_PP","se_DF","se_3sap","se_ppfd"
"1",121,"Pre-monsoon",2022,13.7414285714286,1.353782612,7.00793650793651,12.4146505217143,4.95868957533528e-05,-9.92997208028571,1979.28571428571,9.23057142857143,2.7392,8.71081428571429,6.89352857142857,7,0.41423152354938,0.459739189932372,0.880712941198284,0.00204919753767587,5.33775355840931e-06,0.326461479324886,0.111800310928948,0.139977876531855,0.188625377784562,22.3582458270452
"2",121,"Pre-monsoon",2023,13.0142857142857,1.092252418,10.1920634920635,11.9581611737143,4.13474547434402e-05,-10.0425660457143,1818.14285714286,6.95675714285714,2.77061428571429,8.31302857142857,6.01346666666667,7,0.178083141937065,0.124912335991677,0.580472420291312,0.00467288934726339,2.32274846977706e-06,0.231716807719233,0.132152596552282,0.105644082867418,0.152256930755099,87.6411592182329
"3",122,"Pre-monsoon",2022,14.2,1.28934562371429,6.91269841269841,13.6880732114286,5.67661991661808e-05,-11.2470240602857,1974.42857142857,9.8013,2.54271428571429,9.02815714285714,7.12405714285714,7,0.453741063141691,0.55884292639187,0.661467476262224,0.00448956686467648,2.74370796618167e-06,0.245607848486353,0.109659248038057,0.0827490579924595,0.141910552481194,22.9884620571952
"4",122,"Pre-monsoon",2023,11.0171428571429,0.876797022928571,9.93015873015873,10.3451306142857,6.29831628851312e-05,-8.61980421514286,1894.42857142857,6.30067142857143,1.94511428571429,7.63165714285714,5.29248095238095,7,0.371379117586856,0.437569755456953,0.922399655711165,0.00399462139432313,1.0065216625791e-05,0.560524569239466,0.185908813321876,0.324469556028167,0.355629591115668,22.0549715190812
"5",123,"Pre-monsoon",2022,12.3914285714286,1.05138631838571,6.8031746031746,17.3376406671429,6.05774288600583e-05,-14.9572545687143,1663,8.66745714285714,2.57055714285714,8.50625714285714,6.58142380952381,7,0.230438800587762,0.277848180026672,1.24799124742259,0.00204919753767591,1.58380335396407e-05,0.282330335783106,0.130619328506894,0.137701142674553,0.179614729176824,79.9350927166476
"6",123,"Pre-monsoon",2023,12.09,1.00912433787143,9.72063492063492,10.8052814078571,3.92445995346939e-05,-8.82570574242857,1754,7.11482857142857,2.38267142857143,8.63967142857143,6.04572380952381,7,0.280857530397446,0.396345897936823,0.400936901166022,0.00564924775239769,3.0521561614713e-06,0.492576627209888,0.156632210569075,0.247801331441027,0.296259191245742,51.3466278393839
"7",124,"Pre-monsoon",2022,14.46,1.32806587028571,6.68412698412698,16.2230441257143,0.000102513968658892,-13.7319876128571,1983.85714285714,10.3547285714286,2.71748571428571,9.42458571428571,7.49893333333333,7,0.416092938336297,0.603910481670888,0.5189438056715,0.00476190476190474,1.52387339817521e-05,0.269744424642754,0.0779525570873886,0.137470574216849,0.148328193597418,22.3813576457736
"8",124,"Pre-monsoon",2023,8.13928571428571,0.7853652243,9.5015873015873,9.56147748542857,4.52603839043732e-05,-7.76244018642857,1901.71428571429,4.50691428571429,1.46266,6.36695714285714,4.11217714285714,7,0.422210606117809,0.414412500759984,0.688381324168392,0.00158730158730158,3.4065932405046e-06,0.62924360201775,0.174989072801704,0.506318049327525,0.434035744003548,22.1291816448803
"9",125,"Pre-monsoon",2022,16.21,1.60235545942857,6.5968253968254,13.8435673628571,8.16971889795918e-05,-11.1418595282857,1985.28571428571,10.646,2.5493,9.41534285714286,7.53688095238095,7,0.397803493005804,0.476018424439239,0.629404650527973,0.00204919753767587,4.85579051739692e-06,0.19369502292202,0.027714032890354,0.112517981329426,0.0926355362970065,23.293892808564
"10",125,"Pre-monsoon",2023,7.58585714285714,0.739029389742857,9.33968253968254,11.9333446914286,4.08628882e-05,-10.096140843,1907.42857142857,4.15605714285714,1.16995571428571,5.25508571428571,3.52703285714286,7,0.294912289508934,0.130770455098228,0.421978880776058,0.00224478343233824,5.65043286608428e-06,0.517385059173322,0.133467226436504,0.444049375433779,0.362671164034927,22.2634198618626
